title,subtitle,searchterms,popularity,recommended,genre,composer,epoch,composer_popularity,composer_recommended
Berceuse élégiaque,For chamber orchestra,,0,0,Orchestral,John Adams,21st Century,0,1
Chamber Symphony,,,0,0,Orchestral,John Adams,21st Century,0,1
China Gates,,,1,1,Keyboard,John Adams,21st Century,0,1
Doctor Atomic,Opera,,0,0,Stage,John Adams,21st Century,0,1
Doctor Atomic Symphony,,,0,1,Orchestral,John Adams,21st Century,0,1
Fellow Traveler,For string quartet,,0,0,Chamber,John Adams,21st Century,0,1
Grand Pianola Music,"For voice, pianos, winds, brass and percussion",,0,0,Orchestral,John Adams,21st Century,0,1
Hallelujah Junction,,,0,0,Keyboard,John Adams,21st Century,0,1
Harmonielehre,,,1,1,Orchestral,John Adams,21st Century,0,1
Harmonium,For chorus and orchestra,,0,0,Vocal,John Adams,21st Century,0,1
I was looking at the ceiling and then I saw the sky,,,0,0,Stage,John Adams,21st Century,0,1
John's Book of Alleged Dances,For string quartet,,0,0,Chamber,John Adams,21st Century,0,1
Light Over Water,For brass and tape,,0,0,Orchestral,John Adams,21st Century,0,1
Lollapalooza,,,0,0,Orchestral,John Adams,21st Century,0,1
Must the Devil Have All the Good Tunes?,For piano and orchestra,,0,0,Orchestral,John Adams,21st Century,0,1
Nixon in China,Opera,,1,1,Stage,John Adams,21st Century,0,1
Phrygian Gates,,,0,0,Keyboard,John Adams,21st Century,0,1
Road Movies,For violin and piano,,0,0,Chamber,John Adams,21st Century,0,1
Shaker Loops,For strings,,0,0,Chamber,John Adams,21st Century,0,1
Short Ride in a Fast Machine,,,1,1,Orchestral,John Adams,21st Century,0,1
String Quartet,,,0,0,Chamber,John Adams,21st Century,0,1
The Chairman Dances,,,0,0,Orchestral,John Adams,21st Century,0,1
The Dharma at Big Sur,For electric violin and orchestra ,,0,1,Orchestral,John Adams,21st Century,0,1
The Gospel According To The Other Mary,Oratorio,,0,0,Vocal,John Adams,21st Century,0,1
The Wound-Dresser,For baritone and orchestra,,0,0,Vocal,John Adams,21st Century,0,1
Violin Concerto,,,0,1,Orchestral,John Adams,21st Century,0,1
"Catch, op. 4","For clarinet, piano, violin and cello",,0,0,Chamber,Thomas Adès,21st Century,0,
"Chamber Symphony, op. 2",,,0,0,Orchestral,Thomas Adès,21st Century,0,
Concerto for Piano and Orchestra,,,0,0,Orchestral,Thomas Adès,21st Century,0,
Darknesse Visible,For piano,,0,0,Keyboard,Thomas Adès,21st Century,0,
Polaris: Voyage for Orchestra,,,0,0,Orchestral,Thomas Adès,21st Century,0,
Powder Her Face,Opera,,1,1,Stage,Thomas Adès,21st Century,0,
Tevot,,,0,0,Orchestral,Thomas Adès,21st Century,0,
The Fayrfax Carol,For chorus and organ,,0,0,Vocal,Thomas Adès,21st Century,0,
The Tempest,Opera,,0,0,Stage,Thomas Adès,21st Century,0,
Three Studies from Couperin,,,1,1,Orchestral,Thomas Adès,21st Century,0,
Totentanz,"For mezzo-soprano, baritone and orchestra",,0,1,Orchestral,Thomas Adès,21st Century,0,
